"","year","month","day","gender","births"
"1",1969,1,"1","F",4046
"2",1969,1,"1","M",4440
"3",1969,1,"2","F",4454
"4",1969,1,"2","M",4548
"5",1969,1,"3","F",4548
"6",1969,1,"3","M",4994
"7",1969,1,"4","F",4440
"8",1969,1,"4","M",4520
"9",1969,1,"5","F",4192
"10",1969,1,"5","M",4198
"11",1969,1,"6","F",4710
"12",1969,1,"6","M",4850
"13",1969,1,"7","F",4646
"14",1969,1,"7","M",5092
"15",1969,1,"8","F",4800
"16",1969,1,"8","M",4934
"17",1969,1,"9","F",4592
"18",1969,1,"9","M",4842
"19",1969,1,"10","F",4852
"20",1969,1,"10","M",5190
"21",1969,1,"11","F",4580
"22",1969,1,"11","M",4598
"23",1969,1,"12","F",4126
"24",1969,1,"12","M",4324
"25",1969,1,"13","F",4758
"26",1969,1,"13","M",5076
"27",1969,1,"14","F",5070
"28",1969,1,"14","M",5296
"29",1969,1,"15","F",4798
"30",1969,1,"15","M",5096
"31",1969,1,"16","F",4790
"32",1969,1,"16","M",4872
"33",1969,1,"17","F",4944
"34",1969,1,"17","M",5030
"35",1969,1,"18","F",4670
"36",1969,1,"18","M",4642
"37",1969,1,"19","F",4170
"38",1969,1,"19","M",4452
"39",1969,1,"20","F",4884
"40",1969,1,"20","M",4924
"41",1969,1,"21","F",5042
"42",1969,1,"21","M",5432
"43",1969,1,"22","F",4796
"44",1969,1,"22","M",5088
"45",1969,1,"23","F",4794
"46",1969,1,"23","M",4660
"47",1969,1,"24","F",4752
"48",1969,1,"24","M",5046
"49",1969,1,"25","F",4348
"50",1969,1,"25","M",4674
"51",1969,1,"26","F",4230
"52",1969,1,"26","M",4338
"53",1969,1,"27","F",4864
"54",1969,1,"27","M",5046
"55",1969,1,"28","F",4860
"56",1969,1,"28","M",5172
"57",1969,1,"29","F",4500
"58",1969,1,"29","M",4880
"59",1969,1,"30","F",4668
"60",1969,1,"30","M",5006
"61",1969,1,"31","F",4780
"62",1969,1,"31","M",4912
"63",1969,1,"99","F",26
"64",1969,1,"99","M",38
"65",1969,2,"1","F",4394
"66",1969,2,"1","M",4736
"67",1969,2,"2","F",4334
"68",1969,2,"2","M",4480
"69",1969,2,"3","F",4878
"70",1969,2,"3","M",5110
"71",1969,2,"4","F",4796
"72",1969,2,"4","M",5200
"73",1969,2,"5","F",4674
"74",1969,2,"5","M",5002
"75",1969,2,"6","F",4760
"76",1969,2,"6","M",4968
"77",1969,2,"7","F",4940
"78",1969,2,"7","M",5162
"79",1969,2,"8","F",4626
"80",1969,2,"8","M",4636
"81",1969,2,"9","F",4252
"82",1969,2,"9","M",4442
"83",1969,2,"10","F",4958
"84",1969,2,"10","M",4996
"85",1969,2,"11","F",4796
"86",1969,2,"11","M",5060
"87",1969,2,"12","F",4780
"88",1969,2,"12","M",5228
"89",1969,2,"13","F",4850
"90",1969,2,"13","M",4756
"91",1969,2,"14","F",5092
"92",1969,2,"14","M",5262
"93",1969,2,"15","F",4598
"94",1969,2,"15","M",4712
