"","age","gender","split","final"
"1",33,"M","01:05:38","02:08:51"
"2",32,"M","01:06:26","02:09:28"
"3",31,"M","01:06:49","02:10:42"
"4",38,"M","01:06:16","02:13:45"
"5",31,"M","01:06:32","02:13:59"
"6",31,"M","01:06:13","02:14:11"
"7",27,"M","01:06:40","02:14:28"
"8",31,"M","01:06:31","02:15:16"
"9",30,"M","01:05:39","02:15:57"
"10",30,"M","01:05:40","02:16:39"
"11",26,"M","01:08:10","02:18:18"
"12",29,"M","01:05:54","02:18:52"
"13",28,"M","01:08:59","02:19:36"
"14",24,"M","01:09:16","02:19:45"
"15",37,"M","01:05:21","02:19:47"
"16",25,"M","01:09:52","02:20:17"
"17",22,"M","01:09:53","02:20:57"
"18",30,"M","01:05:40","02:21:17"
"19",26,"M","01:10:11","02:21:24"
"20",36,"M","01:10:35","02:21:55"
"21",28,"M","01:11:59","02:22:14"
"22",31,"M","01:05:54","02:22:20"
"23",41,"M","01:09:14","02:22:27"
"24",24,"M","01:11:18","02:22:55"
"25",26,"M","01:10:17","02:22:56"
"26",36,"M","01:06:39","02:23:31"
"27",28,"M","01:10:32","02:23:39"
"28",29,"M","01:12:25","02:23:48"
"29",34,"W","01:12:35","02:24:13"
"30",31,"M","01:14:07","02:25:19"
"31",39,"W","01:13:13","02:25:37"
"32",29,"M","01:09:59","02:25:38"
"33",29,"W","01:13:09","02:25:50"
"34",31,"M","01:13:24","02:25:56"
"35",30,"M","01:11:51","02:26:15"
"36",30,"M","01:08:34","02:26:36"
"37",34,"M","01:06:20","02:27:22"
"38",27,"M","01:12:23","02:27:24"
"39",23,"M","01:13:42","02:27:32"
"40",37,"M","01:12:10","02:28:08"
"41",36,"W","01:12:57","02:28:13"
"42",27,"W","01:13:07","02:28:27"
"43",39,"M","01:12:57","02:28:36"
"44",38,"M","01:13:08","02:28:51"
"45",47,"M","01:15:38","02:28:55"
"46",36,"W","01:13:00","02:28:56"
"47",34,"W","01:12:47","02:29:07"
"48",24,"W","01:13:39","02:29:10"
"49",38,"M","01:13:30","02:29:12"
"50",35,"M","01:12:52","02:29:15"
"51",35,"M","01:13:51","02:29:35"
"52",39,"M","01:12:41","02:29:35"
"53",36,"W","01:13:44","02:29:38"
"54",33,"M","01:13:40","02:29:52"
"55",22,"M","01:09:44","02:29:54"
"56",22,"M","01:09:35","02:30:10"
"57",35,"W","01:14:04","02:30:10"
"58",32,"M","01:13:37","02:30:12"
"59",33,"M","01:13:00","02:30:20"
"60",34,"W","01:13:28","02:30:20"
"61",36,"M","01:14:28","02:30:41"
"62",31,"W","01:14:39","02:30:45"
"63",23,"W","01:13:42","02:30:46"
"64",32,"W","01:13:51","02:30:52"
"65",38,"W","01:14:22","02:30:55"
"66",31,"M","01:13:13","02:31:01"
"67",28,"M","01:13:18","02:31:06"
"68",37,"W","01:13:29","02:31:06"
"69",30,"M","01:14:56","02:31:10"
"70",27,"M","01:13:52","02:31:13"
"71",34,"M","01:14:07","02:31:18"
"72",44,"M","01:16:36","02:31:18"
"73",31,"M","01:14:40","02:31:34"
"74",30,"M","01:14:40","02:31:41"
"75",26,"M","01:12:43","02:31:44"
"76",29,"M","01:07:09","02:31:49"
"77",34,"M","01:14:59","02:32:05"
"78",34,"M","01:13:46","02:32:09"
"79",33,"M","01:13:31","02:32:10"
"80",29,"M","01:07:27","02:32:12"
"81",24,"M","01:13:16","02:32:15"
