"","X","city","latd","longd","elevation_m","elevation_ft","population_total","area_total_sq_mi","area_land_sq_mi","area_water_sq_mi","area_total_km2","area_land_km2","area_water_km2","area_water_percent"
"1",0,"Adelanto",34.5761111111111,-117.432777777778,875,2871,31765,56.027,56.009,0.018,145.107,145.062,0.046,0.03
"2",1,"AgouraHills",34.1533333333333,-118.761666666667,281,922,20330,7.822,7.793,0.029,20.26,20.184,0.076,0.37
"3",2,"Alameda",37.7561111111111,-122.274444444444,NA,33,75467,22.96,10.611,12.349,59.465,27.482,31.983,53.79
"4",3,"Albany",37.8869444444444,-122.297777777778,NA,43,18969,5.465,1.788,3.677,14.155,4.632,9.524,67.28
"5",4,"Alhambra",34.0819444444444,-118.135,150,492,83089,7.632,7.631,0.001,19.766,19.763,0.003,0.01
"6",5,"AlisoViejo",33.575,-117.725555555556,127,417,47823,7.472,7.472,0,19.352,19.352,0,0
"7",6,"Alturas",41.4872222222222,-120.5425,1332,4370,2827,2.449,2.435,0.014,6.342,6.306,0.036,0.57
"8",7,"AmadorCity",38.4194444444444,-120.824166666667,280,919,185,0.314,0.314,0,0.813,0.813,0,0
"9",8,"AmericanCanyon",38.1680555555556,-122.2525,14,46,19454,4.845,4.837,0.008,12.548,12.527,0.021,0.17
"10",9,"Anaheim",33.8361111111111,-117.889722222222,48,157,336000,50.811,49.835,0.976,131.6,129.073,2.527,1.92
"11",10,"Anderson",40.4522222222222,-122.296666666667,132,430,9932,6.62,6.372,0.248,17.145,16.504,0.642,3.74
"12",11,"AngelsCamp",38.0683333333333,-120.539722222222,420,1378,3836,3.637,3.628,0.009,9.421,9.397,0.024,0.25
"13",12,"Antioch",38.005,-121.805833333333,13,43,107100,29.083,28.349,0.734,75.324,73.422,1.902,2.52
"14",13,"AppleValley",34.5166666666667,-117.216666666667,898,2946,69135,73.523,73.193,0.33,190.426,189.57,0.856,0.45
"15",14,"Arcadia",34.1327777777778,-118.036388888889,147,482,56364,11.133,10.925,0.208,28.836,28.296,0.54,1.87
"16",15,"Arcata",40.8663888888889,-124.082777777778,NA,23,17231,10.994,9.097,1.897,28.473,23.561,4.912,17.25
"17",16,"ArroyoGrande",35.1208333333333,-120.586666666667,36,118,17716,5.835,5.835,0,15.113,15.113,0,0
"18",17,"Artesia",33.8672222222222,-118.080555555556,16,52,16522,1.621,1.621,0,4.197,4.197,0,0
"19",18,"Arvin",35.2091666666667,-118.828333333333,137,449,19304,4.819,4.819,0,12.482,12.482,0,0
"20",19,"Atascadero",35.4841666666667,-120.6725,268,879,28310,26.13,25.641,0.489,67.675,66.409,1.265,1.87
